zip_code,lat1,long1,lat2,long2,Distance
11232,40.6521,-74.0018,40.7261,-74.2313,21.027026279472008
7504,40.9122,-74.1452,40.7261,-74.2313,21.925097295499548
7501,40.9143,-74.1671,40.7261,-74.2313,21.612949125168836
7305,40.702,-74.089,40.7261,-74.2313,12.289194833517948
7108,40.7236,-74.2015,40.7261,-74.2313,2.526562666842324
7644,40.8764,-74.0838,40.7261,-74.2313,20.819547524388152
7104,40.7664,-74.1695,40.7261,-74.2313,6.869126012146392
7003,40.8035,-74.1891,40.7261,-74.2313,9.311429537841398
7514,40.9248,-74.1467,40.7261,-74.2313,23.212824744800802
7109,40.7946,-74.1631,40.7261,-74.2313,9.539971541484967
7513,40.907,-74.1529,40.7261,-74.2313,21.16950433231292
7721,40.4353,-74.2358,40.7261,-74.2313,32.337717789399775
7107,40.7607,-74.1882,40.7261,-74.2313,5.290194457516796
7106,40.7415,-74.233,40.7261,-74.2313,1.7183822083316824
7205,40.6968,-74.2281,40.7261,-74.2313,3.269156556373202
7012,40.8488,-74.1612,40.7261,-74.2313,14.86534481621029
7114,40.7082,-74.1891,40.7261,-74.2313,4.075642399994464
7050,40.7692,-74.2355,40.7261,-74.2313,4.805543697603193
7018,40.7558,-74.2198,40.7261,-74.2313,3.4416752767800847
7111,40.7261,-74.2313,40.7261,-74.2313,0.0
7524,40.9309,-74.1555,40.7261,-74.2313,23.648913146452436
7052,40.7859,-74.2568,40.7261,-74.2313,6.987744413522212
7083,40.6952,-74.2677,40.7261,-74.2313,4.606357152395635
7034,40.8825,-74.383,40.7261,-74.2313,21.57484274148248
7060,40.6152,-74.415,40.7261,-74.2313,19.80138005049787
7307,40.7482,-74.0498,40.7261,-74.2313,15.48822853826932
8816,40.4284,-74.4064,40.7261,-74.2313,36.25576451323451
7424,40.8835,-74.2144,40.7261,-74.2313,17.559788741446297
8820,40.578,-74.3589,40.7261,-74.2313,19.67405366662544
7112,40.7107,-74.2131,40.7261,-74.2313,2.2989153912410782
7502,40.9199,-74.1932,40.7261,-74.2313,21.786742290056125
7017,40.7696,-74.2077,40.7261,-74.2313,5.229605784285007
7055,40.8601,-74.1283,40.7261,-74.2313,17.23939249278407
7960,40.7952,-74.4873,40.7261,-74.2313,22.889453152206237
7628,40.9447,-73.9921,40.7261,-74.2313,31.556318118238668
7666,40.8915,-74.0119,40.7261,-74.2313,26.06184740397045
7040,40.7279,-74.2656,40.7261,-74.2313,2.8972631300817353
7601,40.8882,-74.0503,40.7261,-74.2313,23.599988642371745
