zip_code,lat1,long1,lat2,long2
11232,40.6521,-74.0018,40.7261,-74.2313
07504,40.9122,-74.1452,40.7261,-74.2313
07501,40.9143,-74.1671,40.7261,-74.2313
07305,40.702,-74.089,40.7261,-74.2313
07108,40.7236,-74.2015,40.7261,-74.2313
07644,40.8764,-74.0838,40.7261,-74.2313
07104,40.7664,-74.1695,40.7261,-74.2313
07003,40.8035,-74.1891,40.7261,-74.2313
07514,40.9248,-74.1467,40.7261,-74.2313
07109,40.7946,-74.1631,40.7261,-74.2313
07513,40.907,-74.1529,40.7261,-74.2313
07721,40.4353,-74.2358,40.7261,-74.2313
07107,40.7607,-74.1882,40.7261,-74.2313
07106,40.7415,-74.233,40.7261,-74.2313
07205,40.6968,-74.2281,40.7261,-74.2313
07012,40.8488,-74.1612,40.7261,-74.2313
07114,40.7082,-74.1891,40.7261,-74.2313
07050,40.7692,-74.2355,40.7261,-74.2313
07018,40.7558,-74.2198,40.7261,-74.2313
07111,40.7261,-74.2313,40.7261,-74.2313
07524,40.9309,-74.1555,40.7261,-74.2313
07052,40.7859,-74.2568,40.7261,-74.2313
07083,40.6952,-74.2677,40.7261,-74.2313
07034,40.8825,-74.383,40.7261,-74.2313
07060,40.6152,-74.415,40.7261,-74.2313
07307,40.7482,-74.0498,40.7261,-74.2313
08816,40.4284,-74.4064,40.7261,-74.2313
07424,40.8835,-74.2144,40.7261,-74.2313
08820,40.578,-74.3589,40.7261,-74.2313
07112,40.7107,-74.2131,40.7261,-74.2313
07502,40.9199,-74.1932,40.7261,-74.2313
07017,40.7696,-74.2077,40.7261,-74.2313
07055,40.8601,-74.1283,40.7261,-74.2313
07960,40.7952,-74.4873,40.7261,-74.2313
07628,40.9447,-73.9921,40.7261,-74.2313
07666,40.8915,-74.0119,40.7261,-74.2313
07040,40.7279,-74.2656,40.7261,-74.2313
07601,40.8882,-74.0503,40.7261,-74.2313
07201,40.6717,-74.2043,40.7261,-74.2313
08901,40.4891,-74.4482,40.7261,-74.2313
07522,40.9252,-74.1781,40.7261,-74.2313
07036,40.6354,-74.2556,40.7261,-74.2313
07095,40.556,-74.2845,40.7261,-74.2313
07065,40.6087,-74.2819,40.7261,-74.2313
10025,40.7975,-73.9683,40.7261,-74.2313
07011,40.8789,-74.1425,40.7261,-74.2313
07407,40.9069,-74.1209,40.7261,-74.2313
