zip_code,lat1,long1,lat2,long2
10473,40.8194,-73.8606,40.7261,-74.2313
07801,40.9176,-74.5467,40.7261,-74.2313
08876,40.588,-74.6874,40.7261,-74.2313
07662,40.9057,-74.079,40.7261,-74.2313
11385,40.7036,-73.8961,40.7261,-74.2313
07603,40.8744,-74.0281,40.7261,-74.2313
08884,40.3847,-74.3894,40.7261,-74.2313
07410,40.9343,-74.1166,40.7261,-74.2313
10977,41.1158,-74.0474,40.7261,-74.2313
07661,40.9265,-74.0392,40.7261,-74.2313
07657,40.8326,-74.0015,40.7261,-74.2313
07010,40.8222,-73.988,40.7261,-74.2313
07001,40.5826,-74.2785,40.7261,-74.2313
08865,40.7079,-75.1507,40.7261,-74.2313
07016,40.6554,-74.3057,40.7261,-74.2313
10703,40.9518,-73.8852,40.7261,-74.2313
11203,40.6505,-73.9349,40.7261,-74.2313
07747,40.4109,-74.238,40.7261,-74.2313
08862,40.43,-74.4173,40.7261,-74.2313
07041,40.7228,-74.3015,40.7261,-74.2313
07621,40.9238,-73.9989,40.7261,-74.2313
08879,40.464,-74.2742,40.7261,-74.2313
08610,40.2016,-74.705,40.7261,-74.2313
08759,39.9515,-74.1521,40.7261,-74.2313
07027,40.6512,-74.3239,40.7261,-74.2313
08833,40.6466,-74.829,40.7261,-74.2313
07080,40.5839,-74.4147,40.7261,-74.2313
07090,40.6479,-74.3451,40.7261,-74.2313
08835,40.5399,-74.5934,40.7261,-74.2313
07067,40.5937,-74.3164,40.7261,-74.2313
10303,40.6301,-74.1607,40.7261,-74.2313
18106,40.5824,-75.5911,40.7261,-74.2313
07023,40.6419,-74.3868,40.7261,-74.2313
08016,40.068,-74.8454,40.7261,-74.2313
07306,40.7321,-74.066,40.7261,-74.2313
08863,40.5393,-74.3117,40.7261,-74.2313
07981,40.8219,-74.42,40.7261,-74.2313
07950,40.8445,-74.4824,40.7261,-74.2313
10302,40.6306,-74.1379,40.7261,-74.2313
11101,40.7446,-73.9345,40.7261,-74.2313
11355,40.7536,-73.8226,40.7261,-74.2313
07734,40.4414,-74.1306,40.7261,-74.2313
07945,40.7789,-74.6,40.7261,-74.2313
07078,40.7368,-74.3271,40.7261,-74.2313
08690,40.2336,-74.6576,40.7261,-74.2313
08812,40.5897,-74.4639,40.7261,-74.2313
07751,40.3529,-74.2779,40.7261,-74.2313
07081,40.7015,-74.3227,40.7261,-74.2313
08869,40.5711,-74.6377,40.7261,-74.2313
08753,39.9771,-74.1565,40.7261,-74.2313
11234,40.6205,-73.9239,40.7261,-74.2313
08724,40.0874,-74.1152,40.7261,-74.2313
07731,40.1481,-74.2137,40.7261,-74.2313
07735,40.4332,-74.1996,40.7261,-74.2313
08823,40.4421,-74.5369,40.7261,-74.2313
08609,40.2248,-74.741,40.7261,-74.2313
08844,40.4775,-74.6272,40.7261,-74.2313
07933,40.6877,-74.4681,40.7261,-74.2313
07028,40.804,-74.2055,40.7261,-74.2313
